train_loss,train_acc,val_loss,val_acc
3.9120601627682574,0.02,3.91206016128077,0.02
3.91206016128077,0.02,3.9120601597933424,0.02
3.912060159793343,0.02,3.912060158305975,0.02
3.9120601583059758,0.02,3.9120601568186673,0.02
3.9120601568186673,0.02,3.912060155331419,0.02
3.912060155331419,0.02,3.9120601538442306,0.02
3.9120601538442306,0.02,3.9120601523571006,0.02
3.9120601523571006,0.02,3.9120601508700314,0.02
3.9120601508700314,0.02,3.912060149383021,0.02
3.912060149383021,0.02,3.91206014789607,0.02
3.91206014789607,0.02,3.912060146409179,0.02
3.912060146409179,0.02,3.9120601449223478,0.02
3.9120601449223478,0.02,3.912060143435576,0.02
3.9120601434355753,0.02,3.9120601419488636,0.02
3.9120601419488628,0.02,3.9120601404622097,0.02
3.9120601404622097,0.02,3.912060138975617,0.02
