iter	Passed	Remaining
945	947622	1055807
946	948616	1054797
947	949604	1053780
948	950602	1052774
949	951585	1051752
950	952577	1050740
951	953567	1049725
952	954555	1048709
953	955559	1047709
954	956563	1046711
955	957554	1045698
956	958530	1044668
957	959513	1043646
958	960517	1042647
959	961503	1041628
960	962476	1040596
961	963463	1039578
962	964459	1038571
963	965436	1037543
964	966430	1036534
965	967414	1035514
966	968415	1034511
967	969425	1033519
968	970432	1032523
969	971419	1031507
970	972392	1030475
971	973361	1029439
972	974351	1028426
973	975344	1027416
974	976338	1026406
975	977335	1025401
976	978338	1024401
977	979343	1023404
978	980338	1022396
979	981323	1021377
980	982312	1020363
981	983286	1019334
982	984272	1018316
983	985258	1017299
984	986223	1016260
985	987221	1015255
986	988223	1014255
987	989202	1013232
988	990205	1012231
989	991194	1011218
990	992192	1010214
991	993168	1009186
992	994166	1008183
993	995152	1007165
994	996149	1006160
995	997138	1005147
996	998126	1004133
997	999103	1003107
998	1000098	1002100
999	1001086	1001086
1000	1002083	1000081
1001	1003078	999073
1002	1004072	998065
1003	1005070	997061
1004	1006060	996049
1005	1007043	995031
1006	1008024	994010
1007	1009019	993003
1008	1010024	992006
1009	1011024	991003
1010	1012012	989990
1011	1013014	988990
1012	1014001	987975
1013	1014984	986957
1014	1015971	985942
1015	1016954	984924
1016	1017949	983917
1017	1018927	982894
1018	1019909	981875
1019	1020899	980864
1020	1021882	979846
1021	1022877	978839
1022	1023863	977824
1023	1024869	976828
1024	1025860	975818
1025	1026859	974816
1026	1027861	973816
1027	1028849	972803
1028	1029834	971786
1029	1030835	970786
1030	1031814	969765
1031	1032815	968764
1032	1033805	967754
1033	1034802	966749
1034	1035797	965743
1035	1036798	964743
1036	1037802	963744
1037	1038796	962737
1038	1039794	961734
1039	1040779	960719
1040	1041757	959698
1041	1042745	958685
1042	1043740	957679
1043	1044724	956663
1044	1045725	955662
1045	1046738	954673
1046	1047737	953671
1047	1048723	952657
1048	1049711	951645
1049	1050706	950639
1050	1051694	949626
1051	1052673	948606
1052	1053658	947592
1053	1054648	946581
1054	1055652	945584
1055	1056647	944579
1056	1057649	943579
1057	1058638	942568
1058	1059641	941569
1059	1060630	940559
1060	1061635	939562
1061	1062616	938544
1062	1063591	937521
1063	1064585	936514
1064	1065581	935510
1065	1066559	934490
1066	1067555	933486
1067	1068562	932490
1068	1069563	931491
1069	1070549	930477
1070	1071547	929474
1071	1072541	928469
1072	1073525	927454
1073	1074513	926442
1074	1075492	925423
1075	1076492	924423
1076	1077484	923415
1077	1078458	922392
1078	1079444	921379
1079	1080426	920363
1080	1081423	919360
1081	1082412	918349
1082	1083400	917339
1083	1084408	916345
1084	1085404	915341
1085	1086390	914328
1086	1087378	913317
1087	1088380	912319
1088	1089383	911320
1089	1090358	910299
1090	1091335	909279
1091	1092334	908278
1092	1093324	907269
1093	1094336	906278
1094	1095314	905259
1095	1096303	904249
1096	1097288	903237
1097	1098273	902224
1098	1099263	901216
1099	1100249	900204
1100	1101260	899212
1101	1102255	898208
1102	1103230	897187
1103	1104214	896174
1104	1105215	895174
1105	1106181	894147
1106	1107169	893136
1107	1108156	892125
1108	1109139	891111
1109	1110130	890104
1110	1111107	889086
1111	1112101	888080
1112	1113063	887050
1113	1114064	886051
1114	1115075	885059
1115	1116075	884059
1116	1117094	883074
1117	1118077	882060
1118	1119065	881051
1119	1120076	880059
1120	1121074	879058
1121	1122053	878041
1122	1123035	877027
1123	1124023	876018
1124	1125021	875017
1125	1126021	874016
1126	1127014	873011
1127	1128019	872014
1128	1129014	871011
1129	1130004	870003
1130	1130991	868993
1131	1131999	867999
1132	1132986	866989
1133	1133970	865977
1134	1134973	864979
1135	1135956	863966
1136	1136929	862946
1137	1137927	861945
1138	1138922	860941
1139	1139911	859933
1140	1140898	858923
1141	1141877	857907
1142	1142879	856909
1143	1143884	855913
1144	1144873	854905
1145	1145880	853911
1146	1146888	852917
1147	1147881	851912
1148	1148873	850906
1149	1149862	849898
1150	1150840	848882
1151	1151832	847876
1152	1152812	846862
1153	1153809	845860
1154	1154804	844857
1155	1155804	843857
1156	1156803	842856
1157	1157783	841842
1158	1158800	840855
1159	1159807	839860
1160	1160806	838860
1161	1161802	837857
1162	1162766	836832
1163	1163764	835830
1164	1164771	834835
1165	1165772	833837
1166	1166763	832831
